Ticker,Annual Return,Volatility,Sharpe Ratio,Maximum Drawdown
POWERGRID.NS,7.16,20.36,0.01,-16.05
HAVELLS.NS,-17.2,22.78,-1.06,-26.67
AXISBANK.NS,10.88,23.81,0.16,-17.23
INFY.NS,-18.72,26.24,-0.98,-31.82
SUNPHARMA.NS,7.47,19.86,0.02,-13.23
TECHM.NS,3.26,24.87,-0.15,-24.69
NESTLEIND.NS,26.99,20.54,0.97,-11.96
BHARTIARTL.NS,0.35,18.52,-0.36,-17.61
ONGC.NS,25.92,21.88,0.86,-9.44
DRREDDY.NS,15.37,23.03,0.36,-14.54
HDFCBANK.NS,-18.18,19.01,-1.32,-27.78
KOTAKBANK.NS,-8.2,20.98,-0.72,-20.65
DIVISLAB.NS,15.05,22.63,0.36,-18.16
HEROMOTOCO.NS,41.29,27.39,1.25,-20.35
HCLTECH.NS,-20.47,25.55,-1.08,-30.27
TCS.NS,-30.97,22.34,-1.7,-32.68
WIPRO.NS,-12.82,23.62,-0.84,-29.45
BAJFINANCE.NS,12.69,28.78,0.2,-26.74
ADANIENSOL.NS,55.89,37.71,1.3,-23.18
TITAN.NS,32.18,21.87,1.15,-11.27
RELIANCE.NS,4.43,20.13,-0.13,-18.07
AXISVALUE.NS,25.91,16.36,1.16,-12.31
DMART.NS,13.39,24.85,0.26,-24.5
LT.NS,22.09,24.75,0.61,-24.35
ASIANPAINT.NS,16.11,23.43,0.39,-28.54
ADANIPORTS.NS,32.28,27.1,0.93,-16.98
COALINDIA.NS,26.32,21.72,0.89,-10.27
INDIGO.NS,-7.73,32.39,-0.45,-35.94
EICHERMOT.NS,35.49,25.02,1.14,-19.58
TRENT.NS,-15.43,33.31,-0.67,-47.03
TATAPOWER.NS,19.43,21.32,0.58,-16.75
PIDILITIND.NS,2.58,20.42,-0.22,-18.54
JSWSTEEL.NS,32.9,24.35,1.06,-13.35
MARUTI.NS,14.12,23.27,0.31,-28.83
ITC.NS,-28.26,19.23,-1.83,-32.46
ICICIBANK.NS,-10.31,18.61,-0.93,-18.37
SBIN.NS,32.9,21.74,1.19,-20.23
TATASTEEL.NS,46.6,27.19,1.46,-14.85
ULTRACEMCO.NS,5.88,22.42,-0.05,-20.61
BAJAJFINSV.NS,-7.39,22.39,-0.64,-25.03
HINDUNILVR.NS,0.94,20.15,-0.3,-23.18
NTPC.NS,21.29,18.28,0.78,-7.91
